지점,지점명,일시,강수량(mm),강수량 QC플래그
90,속초,1994-08-01 15:00,.1,0
90,속초,1994-08-01 16:00,1.5,0
90,속초,1994-08-01 17:00,3.4,0
90,속초,1994-08-01 18:00,9.2,0
90,속초,1994-08-01 19:00,6.1,0
90,속초,1994-08-01 20:00,8.6,0
90,속초,1994-08-01 21:00,7.1,0
90,속초,1994-08-01 22:00,7.6,0
90,속초,1994-08-01 23:00,.3,0
90,속초,1994-08-04 06:00,0,0
90,속초,1994-08-04 07:00,0,0
90,속초,1994-08-04 10:00,.1,0
90,속초,1994-08-09 16:00,.1,0
90,속초,1994-08-09 17:00,.1,0
90,속초,1994-08-09 18:00,1.5,0
90,속초,1994-08-09 19:00,.5,0
90,속초,1994-08-10 11:00,0,0
90,속초,1994-08-10 12:00,0,0
90,속초,1994-08-10 13:00,.1,0
90,속초,1994-08-10 14:00,.1,0
90,속초,1994-08-10 15:00,0,0
90,속초,1994-08-10 16:00,0,0
90,속초,1994-08-10 17:00,31.5,0
90,속초,1994-08-10 18:00,11.5,0
90,속초,1994-08-10 19:00,10.4,0
90,속초,1994-08-10 20:00,.9,0
90,속초,1994-08-10 21:00,1.8,0
90,속초,1994-08-10 22:00,8.3,0
90,속초,1994-08-10 23:00,14.6,0
90,속초,1994-08-11 00:00,7,0
90,속초,1994-08-11 01:00,14.6,0
90,속초,1994-08-11 02:00,4.9,0
90,속초,1994-08-11 03:00,4.1,0
90,속초,1994-08-11 04:00,2.7,0
90,속초,1994-08-11 05:00,0,0
90,속초,1994-08-11 06:00,0,0
90,속초,1994-08-11 12:00,.3,0
90,속초,1994-08-11 17:00,0,0
90,속초,1994-08-11 18:00,0,0
90,속초,1994-08-11 21:00,.2,0
90,속초,1994-08-11 22:00,0,0
90,속초,1994-08-15 14:00,.2,0
90,속초,1994-08-15 18:00,0,0
90,속초,1994-08-15 19:00,0,0
90,속초,1994-08-17 06:00,.1,0
90,속초,1994-08-17 13:00,0,0
90,속초,1994-08-17 14:00,0,0
90,속초,1994-08-20 07:00,8,0
90,속초,1994-08-20 08:00,10.8,0
90,속초,1994-08-25 08:00,0,0
90,속초,1994-08-25 09:00,0,0
90,속초,1994-08-25 11:00,.2,0
90,속초,1994-08-25 12:00,.2,0
90,속초,1994-08-25 13:00,1.4,0
90,속초,1994-08-25 14:00,1.4,0
90,속초,1994-08-25 15:00,1,0
90,속초,1994-08-25 16:00,0,0
90,속초,1994-08-25 17:00,2.1,0
90,속초,1994-08-25 18:00,.2,0
90,속초,1994-08-25 19:00,0,0
90,속초,1994-08-25 22:00,.6,0
90,속초,1994-08-25 23:00,.8,0
90,속초,1994-08-26 00:00,0,0
90,속초,1994-08-26 01:00,.5,0
90,속초,1994-08-26 02:00,.5,0
90,속초,1994-08-26 05:00,.2,0
90,속초,1994-08-26 06:00,.8,0
90,속초,1994-08-26 07:00,.4,0
90,속초,1994-08-26 08:00,0,0
90,속초,1994-08-28 05:00,0,0
90,속초,1994-08-28 08:00,.4,0
90,속초,1994-08-28 09:00,.5,0
90,속초,1994-08-28 10:00,.3,0
90,속초,1994-08-28 11:00,.2,0
90,속초,1994-08-28 12:00,.4,0
90,속초,1994-08-28 13:00,1.1,0
90,속초,1994-08-28 14:00,.4,0
90,속초,1994-08-28 15:00,.2,0
90,속초,1994-08-28 16:00,.3,0
90,속초,1994-08-28 17:00,1.5,0
90,속초,1994-08-28 18:00,.8,0
90,속초,1994-08-28 19:00,2.1,0
90,속초,1994-08-28 20:00,.5,0
90,속초,1994-08-28 21:00,0,0
90,속초,1994-08-29 00:00,.2,0
90,속초,1994-08-29 01:00,.8,0
90,속초,1994-08-29 02:00,1.1,0
90,속초,1994-08-29 03:00,3.4,0
90,속초,1994-08-29 04:00,.7,0
90,속초,1994-08-29 09:00,.1,0
90,속초,1994-08-29 14:00,0,0
90,속초,1994-08-29 15:00,0,0
90,속초,1994-08-29 20:00,2.7,0
90,속초,1994-08-29 21:00,2.7,0
90,속초,1994-08-29 22:00,3.9,0
90,속초,1994-08-30 10:00,.1,0
90,속초,1994-08-30 11:00,.5,0
90,속초,1994-08-30 12:00,0,0
90,속초,1994-08-30 13:00,0,0
90,속초,1994-08-30 14:00,0,0
90,속초,1994-09-02 06:00,0,0
90,속초,1994-09-02 07:00,1.4,0
90,속초,1994-09-02 08:00,.2,0
90,속초,1994-09-02 09:00,.5,0
90,속초,1994-09-06 00:00,0,0
90,속초,1994-09-09 21:00,.1,0
90,속초,1994-09-09 22:00,0,0
90,속초,1994-09-09 23:00,.1,0
90,속초,1994-09-10 00:00,0,0
90,속초,1994-09-10 07:00,0,0
90,속초,1994-09-10 08:00,.1,0
90,속초,1994-09-10 09:00,.2,0
90,속초,1994-09-10 10:00,.3,0
90,속초,1994-09-10 11:00,.4,0
90,속초,1994-09-10 12:00,0,0
90,속초,1994-09-13 07:00,.5,0
90,속초,1994-09-13 08:00,1.5,0
90,속초,1994-09-13 09:00,.1,0
90,속초,1994-09-13 10:00,0,0
90,속초,1994-09-13 11:00,0,0
90,속초,1994-09-16 21:00,0,0
90,속초,1994-09-16 22:00,0,0
90,속초,1994-09-16 23:00,2.6,0
90,속초,1994-09-17 00:00,2.6,0
90,속초,1994-09-17 01:00,2.7,0
90,속초,1994-09-17 02:00,3.8,0
90,속초,1994-09-17 03:00,2.4,0
90,속초,1994-09-17 04:00,1.4,0
90,속초,1994-09-17 05:00,1.5,0
90,속초,1994-09-17 06:00,3.3,0
90,속초,1994-09-17 07:00,1.4,0
90,속초,1994-09-17 08:00,1.5,0
90,속초,1994-09-17 09:00,3.1,0
90,속초,1994-09-17 10:00,2.2,0
90,속초,1994-09-17 11:00,.4,0
90,속초,1994-09-17 12:00,.1,0
90,속초,1994-09-17 13:00,.1,0
90,속초,1994-09-17 14:00,.3,0
90,속초,1994-09-17 15:00,0,0
90,속초,1994-09-17 16:00,0,0
90,속초,1994-09-17 17:00,.5,0
90,속초,1994-09-17 18:00,.1,0
90,속초,1994-09-17 21:00,0,0
90,속초,1994-09-17 22:00,.4,0
90,속초,1994-09-17 23:00,0,0
90,속초,1994-09-22 17:00,0,0
90,속초,1994-09-29 14:00,0,0
90,속초,1994-09-29 15:00,0,0
90,속초,1994-09-30 03:00,.2,0
90,속초,1994-09-30 04:00,0,0
90,속초,1994-09-30 06:00,1.3,0
90,속초,1994-09-30 07:00,.5,0
90,속초,1994-10-04 08:00,0,0
90,속초,1994-10-05 17:00,0,0
90,속초,1994-10-05 19:00,0,0
90,속초,1994-10-05 20:00,0,0
90,속초,1994-10-10 10:00,0,0
90,속초,1994-10-11 07:00,0,0
90,속초,1994-10-11 08:00,.2,0
90,속초,1994-10-11 09:00,.1,0
90,속초,1994-10-11 10:00,.8,0
90,속초,1994-10-11 11:00,.4,0
90,속초,1994-10-11 12:00,0,0
90,속초,1994-10-11 13:00,1.2,0
90,속초,1994-10-11 14:00,.1,0
90,속초,1994-10-11 15:00,.2,0
90,속초,1994-10-11 16:00,0,0
90,속초,1994-10-11 19:00,.6,0
90,속초,1994-10-11 20:00,1.6,0
90,속초,1994-10-11 21:00,2.8,0
90,속초,1994-10-11 22:00,3.1,0
90,속초,1994-10-11 23:00,3.8,0
90,속초,1994-10-12 00:00,4.9,0
90,속초,1994-10-12 01:00,8.7,0
90,속초,1994-10-12 02:00,15.8,0
90,속초,1994-10-12 03:00,9,0
90,속초,1994-10-12 04:00,8.2,0
90,속초,1994-10-12 05:00,8.3,0
90,속초,1994-10-12 06:00,21,0
90,속초,1994-10-12 07:00,30,0
90,속초,1994-10-12 08:00,41,0
90,속초,1994-10-12 09:00,23.6,0
90,속초,1994-10-12 10:00,15.9,0
90,속초,1994-10-12 11:00,3.5,0
90,속초,1994-10-12 12:00,2,0
90,속초,1994-10-12 13:00,.1,0
90,속초,1994-10-12 14:00,.1,0
90,속초,1994-10-12 15:00,0,0
90,속초,1994-10-15 13:00,0,0
90,속초,1994-10-15 21:00,0,0
90,속초,1994-10-15 22:00,.3,0
90,속초,1994-10-15 23:00,.6,0
90,속초,1994-10-16 00:00,.4,0
90,속초,1994-10-16 01:00,.1,0
90,속초,1994-10-16 02:00,1.1,0
90,속초,1994-10-16 03:00,4.7,0
90,속초,1994-10-16 04:00,6.8,0
90,속초,1994-10-16 05:00,3.2,0
90,속초,1994-10-16 06:00,4.1,0
90,속초,1994-10-16 07:00,6.3,0
90,속초,1994-10-16 08:00,3.9,0
90,속초,1994-10-16 09:00,1.1,0
90,속초,1994-10-16 10:00,.7,0
90,속초,1994-10-16 11:00,.6,0
90,속초,1994-10-16 12:00,.6,0
90,속초,1994-10-16 13:00,0,0
90,속초,1994-10-20 05:00,.4,0
90,속초,1994-10-20 06:00,1.6,0
90,속초,1994-10-20 07:00,3,0
90,속초,1994-10-20 08:00,2,0
90,속초,1994-10-20 09:00,1.7,0
90,속초,1994-10-20 10:00,1.6,0
90,속초,1994-10-20 11:00,.7,0
90,속초,1994-10-20 12:00,.3,0
90,속초,1994-10-20 13:00,1,0
90,속초,1994-10-20 14:00,1,0
90,속초,1994-10-20 15:00,.4,0
90,속초,1994-10-20 16:00,.5,0
90,속초,1994-10-20 17:00,1.1,0
90,속초,1994-10-20 18:00,.5,0
90,속초,1994-10-20 19:00,.4,0
90,속초,1994-10-20 20:00,.4,0
90,속초,1994-10-20 21:00,.1,0
90,속초,1994-10-20 22:00,0,0
90,속초,1994-10-20 23:00,0,0
90,속초,1994-10-21 00:00,1.1,0
90,속초,1994-10-21 01:00,.5,0
90,속초,1994-10-21 02:00,.3,0
90,속초,1994-10-21 03:00,0,0
90,속초,1994-10-21 04:00,.9,0
90,속초,1994-10-21 05:00,1.1,0
90,속초,1994-10-21 06:00,.6,0
90,속초,1994-10-21 07:00,1.2,0
90,속초,1994-10-21 08:00,.6,0
90,속초,1994-10-21 09:00,.3,0
90,속초,1994-10-21 10:00,.5,0
90,속초,1994-10-21 11:00,2.3,0
90,속초,1994-10-21 12:00,1.7,0
90,속초,1994-10-21 13:00,2.1,0
90,속초,1994-10-21 14:00,1.2,0
90,속초,1994-10-21 15:00,.7,0
90,속초,1994-10-21 16:00,.2,0
90,속초,1994-10-21 17:00,0,0
90,속초,1994-10-21 18:00,0,0
90,속초,1994-10-21 19:00,.1,0
90,속초,1994-10-21 20:00,.1,0
90,속초,1994-10-21 21:00,0,0
90,속초,1994-10-23 13:00,0,0
90,속초,1994-10-23 14:00,0,0
90,속초,1994-10-23 15:00,1.3,0
90,속초,1994-10-23 16:00,.7,0
90,속초,1994-10-23 17:00,.1,0
90,속초,1994-10-23 23:00,0,0
90,속초,1994-10-24 00:00,0,0
90,속초,1994-10-24 01:00,0,0
90,속초,1994-10-24 02:00,0,0
90,속초,1994-10-24 06:00,.2,0
90,속초,1994-10-24 07:00,0,0
90,속초,1994-10-29 08:00,0,0
90,속초,1994-10-29 09:00,0,0
90,속초,1994-10-29 10:00,0,0
90,속초,1994-10-29 11:00,1.5,0
90,속초,1994-10-29 12:00,2,0
90,속초,1994-10-29 13:00,.4,0
90,속초,1994-10-29 14:00,.2,0
90,속초,1994-10-29 15:00,0,0
90,속초,1994-11-02 21:00,0,0
90,속초,1994-11-10 06:00,1,0
90,속초,1994-11-10 09:00,5,0
90,속초,1994-11-10 12:00,4.1,0
90,속초,1994-11-10 15:00,.7,0
90,속초,1994-11-10 18:00,3.1,0
90,속초,1994-11-10 21:00,0,0
90,속초,1994-11-12 15:00,0,0
90,속초,1994-11-12 16:00,0,0
90,속초,1994-11-13 06:00,4.1,0
90,속초,1994-11-13 09:00,2.5,0
90,속초,1994-11-13 12:00,4.4,0
90,속초,1994-11-13 15:00,2.1,0
90,속초,1994-11-13 18:00,3,0
90,속초,1994-11-13 21:00,.2,0
90,속초,1994-11-14 00:00,0,0
90,속초,1994-11-14 06:00,2.8,0
90,속초,1994-11-14 09:00,24.1,0
90,속초,1994-11-14 12:00,8.2,0
90,속초,1994-11-14 15:00,7,0
90,속초,1994-11-14 18:00,6.1,0
90,속초,1994-11-14 21:00,2.6,0
90,속초,1994-11-15 00:00,.2,0
90,속초,1994-11-15 06:00,0,0
90,속초,1994-11-15 09:00,0,0
90,속초,1994-11-15 12:00,0,0
90,속초,1994-11-15 15:00,1.3,0
90,속초,1994-11-15 18:00,1.6,0
